from, to
DB00001,DB06605
DB00001,DB06695
DB00001,DB01254
DB00001,DB01609
DB00001,DB01586
DB00001,DB02123
DB00001,DB02659
DB00001,DB02691
DB00001,DB03619
DB00001,DB04348
DB00001,DB05990
DB00001,DB06777
DB00001,DB08833
DB00001,DB08834
DB00001,DB08857
DB00001,DB11622
DB00001,DB11789
DB00001,DB09075
DB00001,DB09053
DB00001,DB08935
DB00001,DB06228
DB00001,DB06206
DB00001,DB09070
DB00001,DB00932
DB00001,DB00013
DB00001,DB00163
DB00001,DB09030
DB00001,DB01381
DB00001,DB01181
DB00001,DB00468
DB00001,DB00908
DB00001,DB00675
DB00001,DB00539
DB00001,DB00806
DB00001,DB00686
DB00001,DB00583
DB00001,DB00255
DB00001,DB00269
DB00001,DB00286
DB00001,DB01357
DB00001,DB04574
DB00001,DB04575
DB00001,DB07931
DB00001,DB09317
DB00001,DB09318
DB00001,DB09369
DB00001,DB09381
DB00001,DB11478
DB00001,DB11674
DB00001,DB13143
DB00001,DB13386
DB00001,DB13418
DB00001,DB13952
DB00001,DB13953
DB00001,DB13954
DB00001,DB13956
DB00001,DB15334
DB00001,DB15335
DB00001,DB04573
DB00001,DB09211
DB00001,DB00159
DB00001,DB00244
DB00001,DB00328
DB00001,DB00461
DB00001,DB00465
DB00001,DB00469
DB00001,DB00482
DB00001,DB00500
DB00001,DB00533
DB00001,DB00554
DB00001,DB00573
DB00001,DB00580
DB00001,DB00586
DB00001,DB00605
DB00001,DB00712
DB00001,DB00749
DB00001,DB00784
DB00001,DB00788
DB00001,DB00795
DB00001,DB00812
DB00001,DB00814
DB00001,DB00821
DB00001,DB00861
DB00001,DB00936
DB00001,DB00939
DB00001,DB00991
DB00001,DB01009
DB00001,DB01014
DB00001,DB01250
DB00001,DB01283
DB00001,DB01397
DB00001,DB01399
DB00001,DB01401
DB00001,DB01419
DB00001,DB01424
DB00001,DB01435
DB00001,DB01600
DB00001,DB01628
DB00001,DB02224
DB00001,DB03585
DB00001,DB04725
DB00001,DB04812
DB00001,DB04817
DB00001,DB04828
DB00001,DB05095
DB00001,DB06725
DB00001,DB06736
DB00001,DB06737
DB00001,DB07402
DB00001,DB08439
DB00001,DB08797
DB00001,DB08940
DB00001,DB08942
DB00001,DB08951
DB00001,DB08955
DB00001,DB08976
DB00001,DB08981
DB00001,DB08984
DB00001,DB08991
DB00001,DB09084
DB00001,DB09214
DB00001,DB09215
DB00001,DB09216
DB00001,DB09217
DB00001,DB09218
DB00001,DB09285
DB00001,DB09288
DB00001,DB09295
DB00001,DB11455
DB00001,DB11466
DB00001,DB11518
DB00001,DB12399
DB00001,DB12610
DB00001,DB13001
DB00001,DB13167
DB00001,DB13217
DB00001,DB13232
DB00001,DB13286
DB00001,DB13314
DB00001,DB13371
DB00001,DB13407
DB00001,DB13432
DB00001,DB13481
DB00001,DB13524
DB00001,DB13527
DB00001,DB13538
DB00001,DB13544
DB00001,DB13612
DB00001,DB13629
DB00001,DB13649
DB00001,DB13657
DB00001,DB13722
DB00001,DB13860
DB00001,DB14059
DB00001,DB14060
DB00001,DB14938
DB00001,DB09212
DB00001,DB04552
DB00001,DB04865
DB00001,DB11133
DB00001,DB00081
DB00001,DB00048
DB00001,DB00389
DB00001,DB00550
DB00001,DB00763
DB00001,DB03374
DB00001,DB06715
DB00001,DB07637
DB00001,DB09418
DB00001,DB13644
DB00001,DB13804
DB00001,DB04066
DB00001,DB04682
DB00001,DB05830
DB00001,DB06266
DB00001,DB08867
DB00001,DB11507
DB00001,DB12025
DB00001,DB13044
DB00001,DB00294
DB00001,DB00378
DB00001,DB00396
DB00001,DB01431
DB00001,DB06713
DB00001,DB06789
DB00001,DB09124
DB00001,DB11372
DB00001,DB11636
DB00001,DB13230
DB00001,DB13533
DB00001,DB13602
DB00001,DB13866
DB00001,DB14570
DB00001,DB14679
DB00001,DB00233
DB00001,DB01294
DB00001,DB06251
DB00001,DB06807
DB00001,DB09543
DB00001,DB11079
DB00001,DB13509
DB00001,DB14006
DB00001,DB14026
DB00001,DB00054
DB00001,DB00063
DB00001,DB00208
DB00001,DB00261
DB00001,DB00758
DB00001,DB00775
DB00001,DB00975
DB00001,DB01088
DB00001,DB01138
DB00001,DB01166
DB00001,DB01207
DB00001,DB01236
DB00001,DB01240
DB00001,DB02709
DB00001,DB04743
DB00001,DB04905
DB00001,DB04932
DB00001,DB05229
DB00001,DB05266
DB00001,DB05767
DB00001,DB06081
DB00001,DB06209
DB00001,DB06441
DB00001,DB07615
DB00001,DB08814
DB00001,DB08816
DB00001,DB08887
DB00001,DB09283
DB00001,DB12092
DB00001,DB12163
DB00001,DB12321
DB00001,DB12445
DB00001,DB12465
DB00001,DB12545
DB00001,DB12749
DB00001,DB12771
DB00001,DB13036
DB00001,DB13327
DB00001,DB13367
DB00001,DB13400
DB00001,DB13510
DB00001,DB13929
DB00001,DB15786
DB00001,DB00374
DB00001,DB03404
DB00001,DB13783
DB00001,DB00624
DB00001,DB01420
DB00001,DB01481
DB00001,DB01485
DB00001,DB01510
DB00001,DB01541
DB00001,DB01543
DB00001,DB01564
DB00001,DB01569
DB00001,DB01572
DB00001,DB07447
DB00001,DB08619
DB00001,DB11429
DB00001,DB13943
DB00001,DB13944
DB00001,DB13946
DB00001,DB13947
DB00001,DB13951
DB00001,DB13958
DB00001,DB14093
DB00001,DB14655
DB00001,DB02901
DB00001,DB11051
DB00001,DB09568
DB00001,DB00025
DB00001,DB00036
DB00001,DB00100
DB00001,DB00258
DB00001,DB01164
DB00001,DB01373
DB00001,DB01783
DB00001,DB01942
DB00001,DB02261
DB00001,DB06724
DB00001,DB09109
DB00001,DB09222
DB00001,DB09310
DB00001,DB09329
DB00001,DB11093
DB00001,DB11126
DB00001,DB11168
DB00001,DB11311
DB00001,DB11330
DB00001,DB11348
DB00001,DB11606
DB00001,DB11608
DB00001,DB11668
DB00001,DB12409
DB00001,DB12909
DB00001,DB13133
DB00001,DB13148
DB00001,DB13150
DB00001,DB13151
DB00001,DB13152
DB00001,DB13192
DB00001,DB13197
DB00001,DB13201
DB00001,DB13884
DB00001,DB13923
DB00001,DB13933
DB00001,DB13999
DB00001,DB14473
DB00001,DB14562
DB00001,DB14577
DB00001,DB14700
DB00001,DB14738
DB00001,DB00176
DB00001,DB00215
DB00001,DB00472
DB00001,DB00715
DB00001,DB01149
DB00001,DB04832
DB00001,DB04884
DB00001,DB06731
DB00001,DB08953
DB00001,DB12693
DB00001,DB13233
DB00001,DB00476
DB00001,DB01105
DB00001,DB04896
DB00001,DB06700
DB00001,DB08918
DB00001,DB00285
DB00001,DB00601
DB00001,DB00614
DB00001,DB00721
DB00001,DB00752
DB00001,DB00780
DB00001,DB00805
DB00001,DB01037
DB00001,DB01168
DB00001,DB01171
DB00001,DB01247
DB00001,DB01367
DB00001,DB01626
DB00001,DB04017
DB00001,DB04818
DB00001,DB04820
DB00001,DB06654
DB00001,DB08550
DB00001,DB09241
DB00001,DB09243
DB00001,DB09244
DB00001,DB09245
DB00001,DB09246
DB00001,DB09248
DB00001,DB09249
DB00001,DB09250
DB00001,DB09251
DB00001,DB09252
DB00001,DB09253
DB00001,DB09254
DB00001,DB13875
